url,scrapeDatetime,price,addressline1,addressline2,po,mls,bedrooms,totalbedrooms,bathrooms,propertyType,BuildingType,storeys,communityName,title,landSize,Builtin,parkingType,publishTime,PriceHistory,totalFinishedArea,appliancesIncluded,foundationType,style,architectureStyle,basementType,po3,CAGR
https://www.realtor.ca/real-estate/24183480/404-5839-cunard-street-halifax-halifax,"03/26/2022, 12:46:12",729900.0,404 5839 Cunard Street,"Halifax, Nova Scotia B3K0B9",B3K0B9,MLS  Number: 202205097,2 + 0,2.0,2.0,Single Family,Apartment,1.0,Halifax,Condominium/Strata,under 1/2 acre,2007.0,"Garage, Underground",1 day,,1281.0,,Poured Concrete,,,None,B3K,0.0
https://www.realtor.ca/real-estate/24183481/41-braemount-drive-clayton-park-clayton-park,"03/26/2022, 12:43:32",300000.0,41 Braemount Drive,"Clayton Park, Nova Scotia B3M3P3",B3M3P3,MLS  Number: 202205098,3 + 0,3.0,3.0,Single Family,Row / Townhouse,2.0,Clayton Park,Condominium/Strata,under 1/2 acre,1979.0,,1 day,"Apr 27, 2018 Sold $208,000",1798.0,,Poured Concrete,,2 Level,,B3M,0.0958837317608805
https://www.realtor.ca/real-estate/24183686/20-parmbelle-lane-halifax-halifax,"03/26/2022, 12:44:40",475000.0,20 Parmbelle Lane,"Halifax, Nova Scotia B3M1N3",B3M1N3,MLS  Number: 202205106,3 + 2,5.0,4.0,Single Family,House,1.0,Halifax,Freehold,under 1/2 acre,1975.0,"Garage, Attached Garage",1 day,,2826.0,,Poured Concrete,Detached,,,B3M,0.0
https://www.realtor.ca/real-estate/24182784/1821-vernon-street-halifax-halifax,"03/26/2022, 12:48:29",1195000.0,1821 Vernon Street,"Halifax, Nova Scotia B3H3N6",B3H3N6,MLS  Number: 202205080,5 + 0,5.0,3.0,Single Family,House,3.0,Halifax,Freehold,under 1/2 acre,1918.0,,1 day,,2682.0,"Stove, Dishwasher, Dryer, Washer, Freezer, Microwave, Refrigerator",Poured Concrete,Detached,3 Level,Full,B3H,0.0
https://www.realtor.ca/real-estate/24182534/403-1990-vernon-street-halifax-halifax,"03/26/2022, 12:52:03",849900.0,403 1990 Vernon Street,"Halifax, Nova Scotia B3H0B8",B3H0B8,MLS  Number: 202205074,2 + 0,2.0,2.0,Single Family,Apartment,1.0,Halifax,Condominium/Strata,under 1/2 acre,2018.0,"Garage, Underground, Other",2 days,,1425.0,"Range, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,,,Unknown,B3H,0.0
https://www.realtor.ca/real-estate/24182127/41-walton-drive-halifax-halifax,"03/26/2022, 12:52:31",619000.0,41 Walton Drive,"Halifax, Nova Scotia B3N1X6",B3N1X6,MLS  Number: 202205052,2 + 0,2.0,1.0,Single Family,House,1.0,Halifax,Freehold,under 1/2 acre,1953.0,Garage,2 days,"Jun 28, 2018 Sold $459,900",1592.0,"Range, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,Character,,B3N,0.07710194433969
https://www.realtor.ca/real-estate/24182303/55-mica-crescent-halifax-halifax,"03/26/2022, 12:52:59",549900.0,55 Mica Crescent,"Halifax, Nova Scotia B3P0G7",B3P0G7,MLS  Number: 202205061,3 + 0,3.0,4.0,Single Family,House,2.0,Halifax,Freehold,under 1/2 acre,2018.0,"Garage, Attached Garage",2 days,,1905.0,"Barbeque, Range - Electric, Dishwasher, Dryer - Electric, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Detached,3 Level,Full (Finished),B3P,0.0
https://www.realtor.ca/real-estate/24176682/64626464-almon-street-halifax-halifax,"03/25/2022, 19:56:55",489900.0,6462/6464 Almon Street,"Halifax, Nova Scotia B3L1V7",B3L1V7,MLS  Number: 202204943,2 + 1,3.0,2.0,Single Family,House,1.0,Halifax,Freehold,under 1/2 acre,1949.0,Garage,2 days,"Mar 1, 2010 Sold $250,000",1362.0,"Stove, Dryer, Washer, Washer/Dryer Combo, Refrigerator",Concrete Block,Detached,Character,Full (Finished),B3L,0.0576629369516101
https://www.realtor.ca/real-estate/24176229/31-fairmount-road-halifax-halifax,"03/25/2022, 20:01:08",475000.0,31 Fairmount Road,"Halifax, Nova Scotia B3N1H5",B3N1H5,MLS  Number: 202204925,4 + 0,4.0,2.0,Single Family,House,2.0,Halifax,Freehold,under 1/2 acre,1953.0,,2 days,"May 17, 2019 Sold $299,000",1671.0,"Cooktop - Propane, Oven, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full (Partially finished),B3N,0.1668296968418283
https://www.realtor.ca/real-estate/24176232/6080-normandy-drive-halifax-halifax,"03/25/2022, 20:01:57",624900.0,6080 Normandy Drive,"Halifax, Nova Scotia B3K2T1",B3K2T1,MLS  Number: 202204929,4 + 0,4.0,2.0,Single Family,House,2.0,Halifax,Freehold,under 1/2 acre,1953.0,,2 days,,1728.0,"Stove, Refrigerator",Poured Concrete,Detached,,Full (Unfinished),B3K,0.0
