@relation 'home0_510-weka.filters.unsupervised.attribute.Remove-R1-2,4-8-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R10-12,14-15-weka.filters.unsupervised.attribute.Remove-R12-13-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R9'

@attribute price numeric
@attribute totalbedrooms numeric
@attribute bathrooms numeric
@attribute BuildingType {'Row / Townhouse',Apartment,House,'Mobile Home',Duplex}
@attribute storeys numeric
@attribute landSize {'under 1/2 acre','1/2 - 1 acre','1 - 3 acres','3 - 10 acres',Unknown,'10 - 49 acres','100+ acres','50 - 100 acres'}
@attribute Builtin numeric
@attribute totalFinishedArea numeric
@attribute po3 {B2W,B0P,B4A,B0J,B2H,B3N,B3Z,B3R,B3G,B4V,B3A,B0S,B0E,B4C,B4N,B3H,B2R,B3K,B3P,B2X,B2T,B4E,B3M,B2V,B0N,B2G,B0K,B0M,B4P,B0T,B0R,B9A,B4B,B2Y,A1A,B3V,B4G,B2N,B3T,B2S,B3E,B3L,B2Z,B6L,B0H,B4R,B3W,B3J}

@data
224900,2,1,House,1,'under 1/2 acre',1962,664,B2Y
349900,3,1,House,2,'under 1/2 acre',1957,1313,B2Y
689000,3,2,House,1,'1/2 - 1 acre',2015,1992,B3Z
399900,5,3,House,1,'under 1/2 acre',1996,2250,B4E
1200000,6,4,House,2,'1 - 3 acres',1983,4065,B4C
259900,3,1,House,2,'under 1/2 acre',1972,1403,B4C
469900,2,3,House,1,'under 1/2 acre',2010,1864,B4E
525000,3,2,House,2,'1 - 3 acres',?,1735,B0J
345000,4,2,House,1,'under 1/2 acre',1999,2400,B2H
230000,4,2,House,2,'1/2 - 1 acre',?,1500,B0K
315000,3,3,House,2,'1 - 3 acres',2012,2400,B0P
125000,4,2,House,2,'1/2 - 1 acre',1860,2084,B0M
379900,3,2,House,1,'under 1/2 acre',1997,1872,B2S
399900,4,3,House,2,'under 1/2 acre',1966,2853,B3T
379000,4,2,House,2,'under 1/2 acre',?,2000,B0K
479000,2,2,Apartment,1,?,2003,1215,B4A
187900,2,1,House,1,?,2014,784,B2T
350000,3,4,House,2,'under 1/2 acre',1922,4300,B0P
149900,2,1,House,1,'1/2 - 1 acre',1992,1428,B0J
374900,3,1,House,2,'1 - 3 acres',2015,924,B0M
450000,1,2,House,1,'under 1/2 acre',1976,1609,B2W
249900,1,1,House,1,'under 1/2 acre',?,1090,B3Z
335000,2,2,House,1,'under 1/2 acre',1976,1716,B2V
649900,3,2,House,1,'1 - 3 acres',2019,1655,B4E
409000,3,2,House,1,'1 - 3 acres',2011,2200,B3E
685000,4,3,House,1,'under 1/2 acre',2009,2998,B2W
489000,2,2,House,2,?,2015,1365,B0N
245000,4,2,House,2,'under 1/2 acre',1955,2000,B4N
2490000,5,5,House,3,'under 1/2 acre',1924,5738,B3H
549900,3,3,House,2,'1/2 - 1 acre',1918,2334,B3V
489900,3,2,House,1,'under 1/2 acre',1949,1362,B3L
99900,3,1,'Mobile Home',1,'1/2 - 1 acre',?,850,B4V
599900,4,3,House,2,'1/2 - 1 acre',1980,2263,B4N
398900,3,2,House,1,'1 - 3 acres',?,1300,B0P
319900,4,3,House,2,'1/2 - 1 acre',1987,1720,B4E
299900,3,2,House,1,'under 1/2 acre',1963,1242,B4E
335000,3,2,House,1,'under 1/2 acre',1971,1802,B4C
189900,3,1,House,1,'1/2 - 1 acre',1969,864,B0N
125000,2,1,'Mobile Home',1,'1/2 - 1 acre',1970,604,B0N
475000,4,2,House,2,'under 1/2 acre',1953,1671,B3N
349900,3,3,House,2,'under 1/2 acre',2001,1889,B2V
624900,4,2,House,2,'under 1/2 acre',1953,1728,B3K
599900,4,2,House,2,'under 1/2 acre',1952,2020,B3H
362000,3,1,House,2,'under 1/2 acre',?,1550,B3T
649000,4,4,House,1,'1/2 - 1 acre',2002,3484,B2Z
598000,3,2,House,1,'1 - 3 acres',?,1712,B4V
374900,4,3,House,1,'1 - 3 acres',2008,2100,B0N
349999,4,2,House,1,'under 1/2 acre',1972,1887,B0S
224900,2,1,House,1,'1 - 3 acres',1994,1144,B0N
299000,4,1,House,2,'3 - 10 acres',1994,1583,B0S
465000,4,3,House,2,'1/2 - 1 acre',2008,2312,B0P
399900,3,2,House,2,'under 1/2 acre',1994,1872,B0P
625000,4,4,House,2,'under 1/2 acre',2019,2688,B4E
575000,5,3,House,1,'1 - 3 acres',1991,2660,B2T
389900,3,3,House,2,'1/2 - 1 acre',1994,2021,B6L
150000,4,1,House,2,'1 - 3 acres',1911,1263,B0H
849900,5,2,House,1,'under 1/2 acre',?,2622,B3H
469900,2,2,House,1,'under 1/2 acre',2000,1485,B2W
679900,5,4,House,2,'under 1/2 acre',1991,3737,B2V
449900,3,4,'Row / Townhouse',2,'under 1/2 acre',2008,2068,B2W
449900,4,3,House,1,'under 1/2 acre',?,1710,B2W
399900,4,4,House,2,'under 1/2 acre',1992,2149,B4A
229900,3,2,House,2,'1 - 3 acres',1945,979,B0P
449900,5,2,House,1,'under 1/2 acre',1975,1850,B4A
588888,8,5,House,2,'under 1/2 acre',1980,3700,B2T
599900,3,2,House,1,'1 - 3 acres',2020,1686,B2S
239900,3,1,House,1,'under 1/2 acre',?,768,B4E
269900,4,2,House,2,'under 1/2 acre',?,1853,B0N
