price,totalbedrooms,bathrooms,BuildingType,storeys,communityName,title,landSize,Builtin,totalFinishedArea,style,po3,CAGR
299900,3,1,House,2,'Eastern Passage',Freehold,'under 1/2 acre',?,1344,Detached,A1A,0
446000,3,2,House,1,Williamswood,Freehold,'1 - 3 acres',2019,1784,Detached,B3V,0
525000,3,4,House,2,'Beaver Bank',Freehold,'1/2 - 1 acre',2005,2594,Detached,B4G,0.085423
639900,3,2,House,2,Cambridge,Freehold,'1/2 - 1 acre',2001,3632,Detached,B0P,0
750000,4,4,House,1,Dartmouth,Freehold,'under 1/2 acre',2014,2494,Detached,B3A,0.067596
244900,2,1,House,1,'Lower South River',Freehold,'under 1/2 acre',1963,1536,Detached,B2G,0.150149
89900,2,1,House,2,'New Glasgow',Freehold,'under 1/2 acre',?,825,Detached,B2H,0
790000,2,2,House,2,'Louis Head',Freehold,'10 - 49 acres',?,1780,Detached,B0T,0.216236
450000,4,2,House,2,Dartmouth,Freehold,'under 1/2 acre',1976,1982,Detached,B2V,0
499900,3,3,House,2,Bedford,Freehold,'under 1/2 acre',1996,1902,Semi-detached,B4A,0
499900,3,2,House,1,Hubley,Freehold,'under 1/2 acre',1980,1795,Detached,B3Z,0.190238
798000,3,2,House,2,Leminster,Freehold,'50 - 100 acres',1922,1400,Detached,B0N,0
599000,5,6,House,2,Kingston,Freehold,'under 1/2 acre',2007,4064,Detached,B0P,0.112532
320000,3,2,House,2,Truro,Freehold,'under 1/2 acre',1955,1704,Detached,B2N,0.078751
749000,5,2,House,2,Dartmouth,Freehold,'under 1/2 acre',?,1500,Detached,B2Y,0
519000,3,4,House,2,Hubley,Freehold,'1/2 - 1 acre',2008,2618,Detached,B3Z,0.051092
199900,3,2,House,2,Bridgewater,Freehold,'under 1/2 acre',?,1186,Detached,B4V,0
839900,3,4,House,2,Timberlea,Freehold,'under 1/2 acre',?,2319,Detached,B3T,0
369900,3,2,House,1,'Lower Sackville',Freehold,'under 1/2 acre',1973,2050,Detached,B4C,0.161473
779000,4,4,House,2,'West Bedford',Freehold,'under 1/2 acre',2015,2892,Detached,B4B,0.10192
1285900,5,4,House,2,'Middle Sackville',Freehold,'1 - 3 acres',?,3879,Detached,B0N,0
749000,4,4,House,2,'Hammonds Plains',Freehold,'1 - 3 acres',2006,3845,Detached,B4B,0
300000,3,3,'Row / Townhouse',2,'Clayton Park',Condominium/Strata,'under 1/2 acre',1979,1798,?,B3M,0.095884
1200000,3,3,House,1,'Mount Uniacke',Freehold,'1 - 3 acres',2011,3314,Detached,B0N,0
475000,5,4,House,1,Halifax,Freehold,'under 1/2 acre',1975,2826,Detached,B3M,0
350000,4,2,House,1,Centreville,Freehold,'under 1/2 acre',1988,2106,Detached,B0P,0
729900,2,2,Apartment,1,Halifax,Condominium/Strata,'under 1/2 acre',2007,1281,?,B3K,0
699900,4,3,House,3,Hubbards,Freehold,'1 - 3 acres',2020,2717,Detached,B0J,0.748391
699000,3,2,House,2,Bridgewater,Freehold,'under 1/2 acre',?,2820,Detached,B4V,0
1195000,5,3,House,3,Halifax,Freehold,'under 1/2 acre',1918,2682,Detached,B3H,0
365000,3,2,House,1,'Eastern Passage',Freehold,'under 1/2 acre',?,1458,Detached,B3G,0.055498
499000,3,3,House,2,Westville,Freehold,'1/2 - 1 acre',2011,1630,Detached,B0K,0.091557
699900,3,3,House,2,'Beaver Bank',Freehold,'1 - 3 acres',2004,1856,Detached,B4E,0
800000,4,4,House,2,'Fall River',Freehold,'1 - 3 acres',2010,3278,Detached,B2T,0.054168
700000,4,3,House,1,'Fall River',Freehold,'1 - 3 acres',1999,3653,Detached,B2T,0
475000,4,1,House,1,'Fall River',Freehold,'under 1/2 acre',1979,2038,Detached,B2T,0
849900,2,2,Apartment,1,Halifax,Condominium/Strata,'under 1/2 acre',2018,1425,?,B3H,0
619000,2,1,House,1,Halifax,Freehold,'under 1/2 acre',1953,1592,Detached,B3N,0.077102
549900,3,4,House,2,Halifax,Freehold,'under 1/2 acre',2018,1905,Detached,B3P,0
425000,4,3,House,1,'Cole Harbour',Freehold,'under 1/2 acre',1983,2289,Detached,B2V,0.000918
439000,3,1,House,2,Lunenburg,Freehold,'1/2 - 1 acre',1855,1371,Detached,B0J,0.093036
799900,4,4,House,2,'Upper Tantallon',Freehold,'1/2 - 1 acre',2014,3500,Detached,B3Z,0
525000,4,3,House,2,Nictaux,Freehold,'1/2 - 1 acre',1974,2448,Detached,B0S,0.099598
489900,3,3,House,2,'Hammonds Plains',Freehold,'1 - 3 acres',1996,1728,Detached,B4B,0.136403
169000,3,1,'Mobile Home',1,'Middle Sackville',Leasehold,'under 1/2 acre',2006,896,?,B4C,0
749900,4,3,House,2,Bedford,Freehold,'under 1/2 acre',1984,2741,Detached,B4A,0
349900,2,2,'Row / Townhouse',1,'Bible Hill',Freehold,'under 1/2 acre',2019,1050,?,B2N,0
374900,5,2,House,1,Greenwood,Freehold,'under 1/2 acre',2003,2362,Detached,B0P,0.088804
799000,4,4,House,2,'Middle Sackville',Freehold,'1 - 3 acres',2016,3494,Detached,B4E,0
499900,4,4,House,2,Halifax,Freehold,'under 1/2 acre',2019,1957,Detached,B3P,0
439000,3,2,House,2,Dartmouth,Freehold,'under 1/2 acre',1959,1582,Detached,B3A,0.078381
499000,2,2,Apartment,1,Halifax,Condominium/Strata,?,2003,1550,?,B3M,0
479900,2,2,Apartment,2,'Halifax Peninsula',Condominium/Strata,?,2016,953,?,B3K,0
399900,1,1,Apartment,1,Dartmouth,Condominium/Strata,'under 1/2 acre',1986,911,?,B2Y,0.040061
1060000,3,4,House,2,'Cole Harbour',Freehold,'under 1/2 acre',1993,3859,Detached,B2V,0
349900,2,2,Apartment,1,Halifax,Condominium/Strata,Unknown,2010,1224,?,B3N,0
958000,4,4,House,2,Halifax,Freehold,'under 1/2 acre',2009,4080,Detached,B3N,0.125465
224900,2,1,House,1,Dartmouth,Freehold,'under 1/2 acre',1962,664,Detached,B2Y,0.133866
349900,3,1,House,2,Dartmouth,Freehold,'under 1/2 acre',1957,1313,Detached,B2Y,0
689000,3,2,House,1,Hubley,Freehold,'1/2 - 1 acre',2015,1992,Detached,B3Z,0.379832
399900,5,3,House,1,'Middle Sackville',Freehold,'under 1/2 acre',1996,2250,Detached,B4E,0.056669
1200000,6,4,House,2,Lakeview,Freehold,'1 - 3 acres',1983,4065,Detached,B4C,0
259900,3,1,House,2,'Lower Sackville',Freehold,'under 1/2 acre',1972,1403,Detached,B4C,0
469900,2,3,House,1,'Middle Sackville',Freehold,'under 1/2 acre',2010,1864,Detached,B4E,0.076765
525000,3,2,House,2,'East Petpeswick',Freehold,'1 - 3 acres',?,1735,Detached,B0J,0
345000,4,2,House,1,'New Glasgow',Freehold,'under 1/2 acre',1999,2400,Detached,B2H,0
230000,4,2,House,2,Stellarton,Freehold,'1/2 - 1 acre',?,1500,Detached,B0K,0.265341
315000,3,3,House,2,Greenwood,Freehold,'1 - 3 acres',2012,2400,Semi-detached,B0P,0
125000,4,2,House,2,Parrsboro,Freehold,'1/2 - 1 acre',1860,2084,Detached,B0M,0
379900,3,2,House,1,Elmsdale,Freehold,'under 1/2 acre',1997,1872,Detached,B2S,-0.05025
399900,4,3,House,2,'Prospect Village',Freehold,'under 1/2 acre',1966,2853,Detached,B3T,0
379000,4,2,House,2,Stellarton,Freehold,'under 1/2 acre',?,2000,Detached,B0K,0
479000,2,2,Apartment,1,Bedford,Condominium/Strata,?,2003,1215,?,B4A,0.051195
187900,2,1,House,1,'Fall River',Unknown,?,2014,784,Detached,B2T,0
350000,3,4,House,2,Hantsport,Freehold,'under 1/2 acre',1922,4300,Detached,B0P,0
149900,2,1,House,1,'Sheet Harbour',Freehold,'1/2 - 1 acre',1992,1428,Detached,B0J,0.166985
374900,3,1,House,2,Wentworth,Freehold,'1 - 3 acres',2015,924,Detached,B0M,0
450000,1,2,House,1,Dartmouth,Freehold,'under 1/2 acre',1976,1609,Detached,B2W,0
249900,1,1,House,1,Seabright,Freehold,'under 1/2 acre',?,1090,Detached,B3Z,0
335000,2,2,House,1,'Cole Harbour',Freehold,'under 1/2 acre',1976,1716,Detached,B2V,0
649900,3,2,House,1,'Middle Sackville',Freehold,'1 - 3 acres',2019,1655,Detached,B4E,0.241171
409000,3,2,House,1,'West Porters Lake',Freehold,'1 - 3 acres',2011,2200,Detached,B3E,0.224546
685000,4,3,House,1,Dartmouth,Freehold,'under 1/2 acre',2009,2998,Detached,B2W,0.052295
489000,2,2,House,2,Tennecape,Freehold,?,2015,1365,Detached,B0N,0
245000,4,2,House,2,Kentville,Freehold,'under 1/2 acre',1955,2000,Detached,B4N,0.183216
2490000,5,5,House,3,Halifax,Freehold,'under 1/2 acre',1924,5738,Detached,B3H,0.041396
549900,3,3,House,2,'Herring Cove',Freehold,'1/2 - 1 acre',1918,2334,Detached,B3V,0.094585
489900,3,2,House,1,Halifax,Freehold,'under 1/2 acre',1949,1362,Detached,B3L,0.057663
99900,3,1,'Mobile Home',1,'Rhodes Corner',Freehold,'1/2 - 1 acre',?,850,?,B4V,0
599900,4,3,House,2,'New Minas',Freehold,'1/2 - 1 acre',1980,2263,Detached,B4N,0.124285
398900,3,2,House,1,Millville,Freehold,'1 - 3 acres',?,1300,Detached,B0P,0
319900,4,3,House,2,'Middle Sackville',Freehold,'1/2 - 1 acre',1987,1720,Semi-detached,B4E,0.067304
299900,3,2,House,1,'Middle Sackville',Freehold,'under 1/2 acre',1963,1242,Detached,B4E,0
335000,3,2,House,1,'Lower Sackville',Freehold,'under 1/2 acre',1971,1802,Detached,B4C,0
189900,3,1,House,1,Riverside,Freehold,'1/2 - 1 acre',1969,864,Detached,B0N,0.092673
125000,2,1,'Mobile Home',1,'Newport Corner',Freehold,'1/2 - 1 acre',1970,604,?,B0N,0
475000,4,2,House,2,Halifax,Freehold,'under 1/2 acre',1953,1671,Detached,B3N,0.16683
349900,3,3,House,2,'Cole Harbour',Freehold,'under 1/2 acre',2001,1889,Semi-detached,B2V,0.053846
624900,4,2,House,2,Halifax,Freehold,'under 1/2 acre',1953,1728,Detached,B3K,0
599900,4,2,House,2,Halifax,Freehold,'under 1/2 acre',1952,2020,Detached,B3H,0
362000,3,1,House,2,Prospect,Freehold,'under 1/2 acre',?,1550,Detached,B3T,0
649000,4,4,House,1,Dartmouth,Freehold,'1/2 - 1 acre',2002,3484,Detached,B2Z,0
598000,3,2,House,1,'Lower Branch',Freehold,'1 - 3 acres',?,1712,Detached,B4V,0
374900,4,3,House,1,Ardoise,Freehold,'1 - 3 acres',2008,2100,Detached,B0N,0.080128
349999,4,2,House,1,Middleton,Freehold,'under 1/2 acre',1972,1887,Detached,B0S,0
224900,2,1,House,1,Brooklyn,Freehold,'1 - 3 acres',1994,1144,Detached,B0N,0.057309
299000,4,1,House,2,Paradise,Freehold,'3 - 10 acres',1994,1583,Detached,B0S,0.110996
465000,4,3,House,2,Meadowvale,Freehold,'1/2 - 1 acre',2008,2312,Detached,B0P,0.052193
399900,3,2,House,2,Falmouth,Freehold,'under 1/2 acre',1994,1872,Detached,B0P,0.046167
625000,4,4,House,2,'Middle Sackville',Freehold,'under 1/2 acre',2019,2688,Detached,B4E,0
575000,5,3,House,1,'Fall River',Freehold,'1 - 3 acres',1991,2660,Detached,B2T,0
389900,3,3,House,2,'Bible Hill',Freehold,'1/2 - 1 acre',1994,2021,Detached,B6L,0.057865
150000,4,1,House,2,'Country Harbour',Freehold,'1 - 3 acres',1911,1263,Detached,B0H,0
849900,5,2,House,1,Halifax,Freehold,'under 1/2 acre',?,2622,Detached,B3H,0.019707
469900,2,2,House,1,Dartmouth,Freehold,'under 1/2 acre',2000,1485,Detached,B2W,0
679900,5,4,House,2,'Cole Harbour',Freehold,'under 1/2 acre',1991,3737,Detached,B2V,0
449900,3,4,'Row / Townhouse',2,Dartmouth,Freehold,'under 1/2 acre',2008,2068,?,B2W,0
449900,4,3,House,1,Dartmouth,Freehold,'under 1/2 acre',?,1710,Detached,B2W,0
399900,4,4,House,2,Bedford,Freehold,'under 1/2 acre',1992,2149,Detached,B4A,0
229900,3,2,House,2,Falmouth,Freehold,'1 - 3 acres',1945,979,Detached,B0P,0
449900,5,2,House,1,Bedford,Freehold,'under 1/2 acre',1975,1850,Detached,B4A,0.250474
588888,8,5,House,2,'Fall River',Freehold,'under 1/2 acre',1980,3700,Detached,B2T,0.120715
599900,3,2,House,1,'Dutch Settlement',Freehold,'1 - 3 acres',2020,1686,Detached,B2S,1.748276
239900,3,1,House,1,'Middle Sackville',Freehold,'under 1/2 acre',?,768,Detached,B4E,0.136967
269900,4,2,House,2,Stewiacke,Freehold,'under 1/2 acre',?,1853,Detached,B0N,-0.018545
209900,2,1,House,1,Dartmouth,Freehold,'under 1/2 acre',1967,960,Detached,B3A,0
249000,4,1,House,2,Boudreauville,Freehold,'1/2 - 1 acre',1957,1691,Detached,B0E,0
3790000,4,5,House,2,Halifax,Freehold,'1 - 3 acres',?,6000,Detached,B3P,0
645000,4,3,House,1,Oakfield,Freehold,'1 - 3 acres',2011,2784,Detached,B2T,0.087466
209900,3,2,'Mobile Home',1,Collingwood,Freehold,'under 1/2 acre',2018,1088,?,B0M,0
